STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2012/1/1 23:59,SOD,52,39,46,15.8,77,38,42,19,0,714,1623,RA:16,0.01,0,,29.9,29.92,9.2,25,180,20,190
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2012/1/2 23:59,SOD,50,34,42,12,53,26,36,23,0,714,1624,RA:16,0.01,0,,29.58,29.62,13.8,36,290,25,270
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2012/1/3 23:59,SOD,35,14,25,-4.8,42,5,20,40,0,714,1625,,0,0,,29.79,29.85,14.7,35,320,24,330
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2012/1/4 23:59,SOD,28,10,19,-10.6,40,0,15,46,0,714,1626,,0,0,,30,30.02,11.8,30,310,24,320
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2012/1/5 23:59,SOD,39,25,32,2.5,48,13,26,33,0,713,1627,,0,0,,29.8,29.84,11.5,30,280,21,270
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2012/1/6 23:59,SOD,48,28,38,8.7,69,25,32,27,0,713,1628,,T,T,,29.81,29.83,5.8,16,290,13,160
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2012/1/7 23:59,SOD,60,30,45,15.8,63,31,38,20,0,713,1629,BR:13,0,0,,29.69,29.74,4.9,26,300,17,310
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2012/1/8 23:59,SOD,45,30,38,8.9,49,22,34,27,0,713,1630,,0,0,,30.03,30.1,11.7,28,270,20,280
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2012/1/9 23:59,SOD,40,25,33,4,50,15,27,32,0,713,1631,,0,0,,30.19,30.19,7.1,17,198,16,210
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2012/1/10 23:59,SOD,47,30,39,10.1,63,26,33,26,0,712,1632,SN:18 BR:13,0.02,0.5,,29.82,29.86,10,28,280,23,280
WBAN:14739,BOSTON MA US,3.7,42.3606,-71.0097,2012/1/11 23:59,SOD,38,30,34,5.2,63,24,31,31,0,712,1633,,0,0,,30.03,30.08,7.5,21,123,17,118
