LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;10 m above gnd;sfc;2 m above gnd;2 m above gnd;2 m above gnd;2 m above gnd;MSL;MSL;sfc;sfc;high cld lay;high cld lay;mid cld lay;mid cld lay;low cld lay;low cld lay;10 m above gnd;10 m above gnd;sfc;sfc
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount raw;Total Cloud Cover;High Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction;Wind Gust;Temperature;Temperature;Relative Humidity;Relative Humidity;Mean Sea Level Pressure;Mean Sea Level Pressure;Total Cloud Cover;Total Cloud Cover;High Cloud Cover;High Cloud Cover;Medium Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Low Cloud Cover;Wind Speed;Wind Speed;Wind Gust;Wind Gust
UNIT;;;;;°C;%;hPa;mm;cm;%;%;%;%;min;W/m2;m/s;°;m/s;°C;°C;%;%;hPa;hPa;%;%;%;%;%;%;%;%;m/s;m/s;m/s;m/s
AGGREGATION;;;;;daily mean;daily mean;daily mean;daily sum;daily sum;daily mean;daily mean;daily mean;daily mean;daily sum;daily sum;daily mean;daily mean;daily mean;daily max;daily min;daily max;daily min;daily max;daily min;daily max;daily min;daily max;daily min;daily max;daily min;daily max;daily min;daily max;daily min;daily max;daily min
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
